SN,Image Credits
Bambusa heterostachya,Steve Gregory | Plantmark
Bambusa multiplex,Rafaėl Govaerts | Plants of the World Online
Bambusa oldhamii,Benguet State University
Bambusa polymorpha,Kabiranandi Enterprise
Bambusa spinosa,Benguet State University
Bambusa textilis,Guadua Bamboo
Bambusa tuldoides,Plants of the World Online
Bambusa ventricosa,Plants of the World Online
Bambusa vulgaris,Plants of the World Online
Bambusa vulgaris f. waminii,Guadua Bamboo
Bambusa vulgaris var. striata,Guadua Bamboo
Cephalostachyum mindorense,Naturalis Biodiversity Center
Chimonobambusa marmorea,Bamboo Garden Nursery
Chimonobambusa neopurpurea,AsianFlora
Chimonobambusa quadrangularis,Davis Landscape Architecture
Chimonobambusa sp.,Green Art Factory
Cyrtochloa major,Plants of the World Online
Cyrtochloa puser,iNaturalist
Cyrtochloa toppingii,Benguet State University
Dendrocalamus asper,Benguet State University
Dendrocalamus latiflorus,Guadua Bamboo
Dendrocalamus merrillianus,Benguet State University
Dendrocalamus strictus,Guadua Bamboo
Dinochloa acutiflora,Benguet State University
Dinochloa dielsiana,Plants of the World Online
Dinochloa luconiae,Plants of the World Online
Dinochloa scandens,Plants of the World Online
Fimbribambusa horsfieldii,Benguet State University
Gigantochloa atroviolacea,Guadua Bamboo
Gigantochloa levis,Bamboo Land
Guadua angustifolia,Guadua Bamboo
Nastus elatus,Bamboo Land
Neololeba atra,Bamboo Land
Phyllostachys aurea,Plants of the World Online
Phyllostachys aureosulcata,Plants of the World Online
Phyllostachys dulcis,Bamboo Garden Nursery
Phyllostachys edulis,Guadua Bamboo
Phyllostachys nigra,Bamboo Garden Nursery
Phyllostachys nigra f. nigra,Tatiana Anderson | Top Tropicals
Pseudosasa amabilis,Bambu Batu
Rhipidocladum sp.,iNaturalist
Sasaella masamuneana,Global Biodiversity Information Facility
Sasaella masamuneana cv. 'Albostriata',PlantMaster
Schizostachyum brachycladum,Guadua Bamboo
Schizostachyum jaculans,Monaco Nature Encyclopedia
Schizostachyum lima,Carolina Bamboo Garden
Schizostachyum lumampao,Bamboo Land
Shibataea kumasaca,Plant Lust
Sphaerobambos philippinensis,Carolina Bamboo Garden
